Ticker,Date,Open,High,Low,Close,Volume
LHC,2010-01-13,4.3465,6.4714,4.3465,5.7953,141100
LHC,2010-01-14,5.6891,5.6891,5.689,5.689,45500
LHC,2010-01-15,6.085,6.0851,6.085,6.0851,167400
LHC,2010-01-18,6.5101,6.5101,6.0851,6.0851,28000
LHC,2010-01-19,5.9692,6.0851,5.9692,5.9692,144700
LHC,2010-01-20,6.1624,6.1624,5.6021,5.6021,38100
LHC,2010-01-21,5.3703,5.5924,5.3703,5.4862,59700
LHC,2010-01-22,5.776,5.7953,5.4089,5.7953,73400
LHC,2010-01-25,6.0657,6.0657,5.6987,5.747000000000001,10200
LHC,2010-01-26,5.9402,6.1044,5.9402,6.0561,57500
LHC,2010-01-27,6.0561,6.0561,5.6408,5.8339,16900
LHC,2010-01-28,5.4282,5.4282,5.4186,5.4186,38200
LHC,2010-01-29,5.2158,5.3124,5.0419,5.2641,21800
LHC,2010-02-01,5.4669,5.4669,5.2641,5.2641,2700
LHC,2010-02-02,5.4863,5.4863,5.409,5.4572,700
LHC,2010-02-03,5.4089,5.4089,5.3123,5.3317,3400
LHC,2010-02-04,5.409,5.409,5.1675,5.2254,22100
LHC,2010-02-05,5.1385,5.1385,4.8777,4.9936,38400
LHC,2010-02-08,4.926,4.926,4.8294,4.926,8400
LHC,2010-02-09,5.2061,5.2061,4.5396,4.5396,12100
LHC,2010-02-10,4.897,4.897,4.8873,4.897,3000
LHC,2010-02-11,5.1868,5.1868,4.8873,4.8874,400
LHC,2010-02-12,5.0226,5.2158,5.0226,5.1964,18700
LHC,2010-02-22,5.2737,5.2737,5.0225,5.1288,12500
LHC,2010-02-23,4.9453,4.9743,4.9453,4.9743,6600
LHC,2010-02-24,5.2852,5.3059,5.2852,5.3058,106300
LHC,2010-02-25,5.5131,5.5856,5.3369,5.3887,45200
LHC,2010-02-26,5.3369,5.3783,5.1814,5.2851,17200
LHC,2010-03-01,5.2851,5.4405,5.2851,5.2955,25200
LHC,2010-03-02,5.337000000000001,5.337000000000001,5.1297,5.14,7000
LHC,2010-03-03,5.1815,5.3265,5.0778,5.2851,11000
LHC,2010-03-04,5.367999999999999,5.3784,5.1607,5.1815,42400
