Date,Open,High,Low,Close,Volume
2016-08-10,9.8789,9.8789,9.8789,9.8789,0
2016-08-11,9.8789,9.8789,9.8789,9.8789,0
2016-08-12,13.8067,13.8067,13.8067,13.8067,5000
2016-08-15,15.8301,15.8301,15.8301,15.8301,1100
2016-08-16,15.8301,15.8301,15.8301,15.8301,0
2016-08-17,17.8535,17.8535,17.8535,17.8535,200
2016-08-18,17.8535,17.8535,17.8535,17.8535,0
2016-08-19,17.8535,17.8535,17.8535,17.8535,0
2016-08-22,17.8535,17.8535,17.8535,17.8535,0
2016-08-23,17.8535,17.8535,17.8535,17.8535,0
2016-08-24,15.1755,15.1755,15.1755,15.1755,400
2016-08-25,13.6877,13.6877,12.914000000000001,12.914000000000001,5000
2016-08-26,13.0925,13.0926,13.0925,13.0926,0
2016-08-29,12.4975,12.4975,12.4974,12.4974,2600
2016-08-30,12.4974,12.4974,12.4974,12.4974,2900
2016-08-31,12.4974,12.4974,12.4974,12.4974,0
2016-09-01,13.6876,13.6876,12.5569,12.557,5900
2016-09-05,12.9141,12.9141,12.795,12.795,5500
2016-09-06,12.8545,12.8545,12.8545,12.8545,0
2016-09-07,12.5569,12.914000000000001,12.5569,12.914000000000001,14200
2016-09-08,12.914000000000001,13.6877,12.914000000000001,13.6877,7500
2016-09-09,13.3901,13.3901,12.8545,12.8545,4000
2016-09-12,13.033,13.033,13.033,13.033,2000
2016-09-13,13.033,13.033,13.033,13.033,0
2016-09-14,13.5686,13.5686,13.5686,13.5686,100
2016-09-15,13.5686,13.5686,13.5686,13.5686,0
2016-09-16,14.8183,14.8779,14.8183,14.8779,3100
2016-09-19,17.0798,17.0798,14.8779,14.8779,600
2016-09-20,17.4964,17.4964,17.2584,17.4964,1800
2016-09-21,19.9959,19.9959,19.9959,19.9959,5900
2016-09-22,22.9715,22.9715,22.6144,22.912,3310
2016-09-23,22.912,23.2096,20.8291,21.4242,3200
2016-09-26,21.4242,21.4242,20.8291,20.8291,1500
2016-09-27,20.7696,20.7696,19.6388,19.6388,4300
2016-09-28,17.0798,20.5315,17.0798,20.5315,600
2016-09-29,17.6749,17.675,17.6749,17.675,0
2016-09-30,17.675,17.675,17.675,17.675,0
2016-10-03,17.8535,17.8535,17.675,17.675,3300
2016-10-04,17.7345,17.7345,17.7345,17.7345,0
2016-10-05,17.7345,17.7345,17.7345,17.7345,0
2016-10-06,17.7345,17.7345,17.7345,17.7345,500
2016-10-07,17.7345,17.7345,17.7345,17.7345,0
2016-10-10,17.3179,17.555999999999997,17.3179,17.5559,2000
2016-10-11,17.4369,17.4369,17.4369,17.4369,0
2016-10-12,16.9608,16.9608,16.9608,16.9608,700
2016-10-13,16.6632,16.9608,16.6632,16.9608,10600
2016-10-14,16.9013,16.9013,16.9013,16.9013,0
2016-10-17,16.3657,16.3657,16.0681,16.0681,2600
2016-10-18,15.2349,15.2349,14.8779,14.8779,2500
2016-10-19,15.0564,15.0564,15.0564,15.0564,0
2016-10-20,15.0564,15.0564,15.0564,15.0564,0
2016-10-21,15.472999999999999,16.0681,14.8779,14.8779,3100
2016-10-24,14.8779,14.8779,14.8779,14.8779,700
2016-10-25,17.0203,17.0203,17.0203,17.0203,500
2016-10-26,17.0203,17.0203,15.5325,15.5325,4200
2016-10-27,14.2232,18.8651,14.2232,18.4486,3700
2016-10-28,19.3413,19.8174,18.151,19.8174,7800
2016-10-31,20.8291,21.4242,19.6389,20.5315,13100
2016-11-01,20.8291,20.8886,20.8291,20.8291,3700
2016-11-02,21.4242,21.4242,19.0437,19.3413,7400
2016-11-03,19.6389,19.6389,17.913,17.913,5200
2016-11-04,17.8535,19.6388,17.0203,19.0437,1200
2016-11-07,19.8174,21.2456,19.8174,21.2456,8700
2016-11-08,21.4241,23.4476,21.4241,23.4476,84500
2016-11-09,26.6612,26.6612,23.2096,26.1851,41600
2016-11-10,27.3753,28.8631,27.3753,28.8631,47710
2016-11-11,29.7558,30.945999999999998,24.3997,24.5188,38300
2016-11-14,24.5188,29.6963,22.912,26.7802,27491
2016-11-15,27.3753,28.8631,27.3753,27.9109,14020
